time_utc,total_production_active_power_kW
2024-04-05 00:00:00,0.0
2024-04-05 01:00:00,0.0
2024-04-05 02:00:00,0.0
2024-04-05 03:00:00,0.0
2024-04-05 04:00:00,553.848
2024-04-05 05:00:00,2033.8785
2024-04-05 06:00:00,5247.6963
2024-04-05 07:00:00,7123.243
2024-04-05 08:00:00,7550.5093
2024-04-05 09:00:00,8375.148
2024-04-05 10:00:00,8608.765
2024-04-05 11:00:00,8603.209
2024-04-05 12:00:00,7760.7036
2024-04-05 13:00:00,6990.861
2024-04-05 14:00:00,5407.0005
2024-04-05 15:00:00,2988.674
2024-04-05 16:00:00,567.22894
2024-04-05 17:00:00,0.0
2024-04-05 18:00:00,0.0
2024-04-05 19:00:00,0.0
2024-04-05 20:00:00,0.0
2024-04-05 21:00:00,0.0
2024-04-05 22:00:00,0.0
2024-04-05 23:00:00,0.0
2024-04-06 00:00:00,0.0
2024-04-06 01:00:00,0.0
2024-04-06 02:00:00,0.0
2024-04-06 03:00:00,542.99426
2024-04-06 04:00:00,1967.541
2024-04-06 05:00:00,4927.163
2024-04-06 06:00:00,6959.595
2024-04-06 07:00:00,7155.8623
2024-04-06 08:00:00,8682.346
2024-04-06 09:00:00,9122.703
2024-04-06 10:00:00,8461.685
2024-04-06 11:00:00,7566.577
2024-04-06 12:00:00,7210.12
2024-04-06 13:00:00,5415.962
2024-04-06 14:00:00,2539.542
2024-04-06 15:00:00,816.64685
2024-04-06 16:00:00,0.0
2024-04-06 17:00:00,0.0
2024-04-06 18:00:00,0.0
2024-04-06 19:00:00,0.0
2024-04-06 20:00:00,0.0
2024-04-06 21:00:00,0.0
2024-04-06 22:00:00,0.0
