"month","ssa550","ae_470_850","tcwv_cams","toc_omi"
1,0.904329441487789,1.33031862371872,12.3473048226215,324.6544419428
2,0.932840749621391,1.36264251602962,12.1563129084959,339.107619512649
3,0.93176731094718,1.09410043941266,12.8867945391339,346.681504089708
4,0.9366090670228,0.941048128364286,14.5489844877198,350.553078659818
5,0.941348750144243,1.06286499458419,18.9867296597409,339.787263038036
6,0.928644120693207,1.37437844161452,22.9762888649292,325.544943820225
7,0.932808190584183,1.21494895654797,24.5522610311896,304.296874841054
8,0.90378724783659,1.5805082752589,25.5963096260979,297.01908562773
9,0.92190795019269,1.28029866104636,24.9755331814418,293.185294925465
10,0.935058254748583,1.11768863983474,22.0524402318657,285.142358652069
11,0.929504934698343,1.02864958220755,17.5407281445785,285.409883809644
12,0.925805564969778,0.954673274065072,13.9110919788374,302.255524874376
